01_1000040719233 | 《胶东文学》 | 《胶东文学》2026年第4期｜余显斌：砚圣 | 余显斌
02_1000040732477 | 《边疆文学》 | 《边疆文学》2026年第6期目录 | 
02_1000040732495 | 《福建文学》 | 《福建文学》2026年第6期卷首语、目录 | 
02_1000040732499 | 《上海文学》 | 《上海文学》2026年第6期目录 | 
02_1000040732520 | 《青年文学》 | 《青年文学》2026年第6期目录 | 
02_1000040732548 | 《山东文学》 | 《山东文学》2026年第6期目录 | 
02_1000040732550 | 《文学港》 | 《文学港》2026年第6期目录 | 
02_1000040732570 | 《中国校园文学》 | 《中国校园文学》2026年6月目录 | 
02_1000040732580 | 《中国作家》 | 《中国作家》2026年第6期卷首语、目录 | 
02_1000040732581 | 《作品》 | 《作品》2026年第6期目录 | 
02_1000040732584 | 《特区文学》 | 《特区文学》2026年第6期目录 | 
02_1000040732588 | 《湖南文学》 | 《湖南文学》2026年第6期目录 | 
03_1000040719237 | 《胶东文学》 | 《胶东文学》2026年第4期｜苏军：一串项链，缀在中国的胸前（组诗） | 苏军
03_1000040723892 | 《广西文学》 | 《广西文学》2026年第5期｜李莹：离开一下 | 李莹
03_1000040725547 | 《长城》 | 《长城》2026年第3期｜弋铧：错过的哈雷（中篇小说 节选） | 弋铧
03_1000040727725 | 《上海文学》 | 《上海文学》2026年第5期｜张晓雪：爱意深重 | 张晓雪
03_1000040732488 | 《红豆》 | 《红豆》2026年第3期｜王小忠：牛道（中篇小说） | 王小忠
03_1000040732535 | 《北京文学》 | 《北京文学》2026年第5期｜施洪丽：活着并且大笑（节选） | 施洪丽
03_1000040732782 | 各地文讯 | 他们在土地上“种”文学 | 焦思雨 陈相如
03_1000040732815 | 各地文讯 | 中马文学出版合作结硕果 漓江文学奖走进吉隆坡 | 张莉
03_1000040732838 | 文史漫谈 | 枚乘文学史书写的维度与限度 | 刘明
03_1000040732906 | 文学评论 | 拓展当代塞尔维亚小说的叙事边界 | 李宁 李欢
03_1000040732912 | 文学评论 | 算法穷尽数据，文学留住人心 | 王敬慧
03_1000040732915 | 文化时评 | 文学的意义恰在于拒绝让我们彻底安心 | 闫红
03_1000040733080 | 动态 | 网络文学·青春榜之杭州师范大学推文丨温三《剑骨》 | 
03_1000040733090 | 观察 | 论新媒介时代网络修真小说的兴起及其中国式现代化特征 | 邓韵娜
03_1000040733111 | 文学评论 | 生活土壤萌发文学枝芽 | 李璐
03_1000040733114 | 创作谈 | 建构小说的复合叙事空间 | 王 松
03_1000040733219 | 动态 | 番茄小说首次亮相吉隆坡国际书展 | 
03_1000040733351 | 视点 | 第七届蒋风儿童文学奖（理论贡献奖）获奖学者李利芳教授学术座谈会举行 | 
03_1000040747494 | 《人民文学》 | 《人民文学》2026年第6期卷首、目录 | 
04_1000040724765 | 《草原》 | 《草原》2026年第5期｜陈楸帆：圣山（中篇小说 节选） | 陈楸帆
04_1000040725533 | 《山西文学》 | 《山西文学》2026年第5期 | 小引：一个人的山西（组诗） | 小引
04_1000040728642 | 《散文百家》 | 《散文百家》2026年第5期丨晓寒：风口 | 晓寒
04_1000040733223 | 《上海文学》 | 《上海文学》2026年第6期｜顾骨：感官动物 | 顾骨
04_1000040733660 | 各地文讯 | 王旭烽：从学历史的“乌龙”到品文学的“茶香” | 林波 曹丹 孙琳茹
04_1000040733674 | 各地文讯 | 浙江省少年文学之星迎来收获季 | 刘玉涵
04_1000040733675 | 文学评论 | 一代代儿童文学爱好者的良友知音 | 崔昕平
04_1000040733680 | 各地文讯 | 书页间的民心桥：中拉文学交流持续升温 | 陈威华 张拓 吴梦
04_1000040733734 | 各地文讯 | 以文学之名，重新走近海 | 罗昕
04_1000040733789 | 作家印象 | 狄更斯如何“导演”小说插图：从阅读到观看 | 马倩男
04_1000040733904 | 作家印象 | 弗朗西斯·培根：在科学与文学间搭建桥梁 | 陈浩然
04_1000040733908 | 动态 | 网络文学一周动态 | 
04_1000040733928 | 观察 | 何弘：网络文学为文化强国建设注入新动能 | 何弘
04_1000040734003 | 各地文讯 | 报告文学《纵马雪原“一抹红”》在乌鲁木齐首发 | 杨洁
04_1000040734027 | 《民族文学》 | 《民族文学》汉文版2026年第6期目录 | 
04_1000040734032 | 《天津文学》 | 《天津文学》2026年第6期目录 | 
04_1000040734042 | 综述 | 《收获》杂志2026年第1期中短篇小说读札 | 宋笑天
04_1000040734046 | 创作谈 | 裘山山：写短篇小说我很看重讲故事 | 裘山山
04_1000040734047 | 创作谈 | 挖一口文学之“井” | 王芸
04_1000040734083 | 文学评论 | 石华鹏：小说依然是我们严肃思考的方式——读废斯人小说集《抵达森林中央》 | 石华鹏
04_1000040734084 | 影像艺术 | 纪录片《走近这片海》作品研讨会暨国际推介会在京举行 | 何佳怡
04_1000040734096 | 文学评论 | 一代代儿童文学爱好者的良友知音 | 崔昕平
04_1000040734101 | 动态 | 科幻作家陈楸帆：AI时代，最宝贵的是独立思考与审美能力 | 陈楸帆
05_1000040729512 | 《清明》 | 《清明》2025年第3期｜杨遥：彼岸（长篇小说 节选） | 杨遥
05_1000040731780 | 《广西文学》 | 《广西文学》2026年第5期｜黑枣：人间是一条宽阔的长街（组诗） | 黑枣
05_1000040731781 | 《天津文学》 | 《天津文学》2026年第5期｜于剑文：拾光漫 | 于剑文
05_1000040731789 | 《青年文学》 | 《青年文学》2026年第5期｜路魆：伊斯坦布尔乞灵日 | 路魆
05_1000040734257 | 各地文讯 | 竖屏时代，看文学从直播间“出圈” | 王峰
05_1000040734272 | 各地文讯 | 2026年山东生态文学周活动正式启动 | 张晓帆
05_1000040734279 | 各地文讯 | 首届“沈尹默散文诗奖”终评结果揭晓 | 
05_1000040734283 | 各地文讯 | 湖北作家普玄：蹲点两年写成《丹水词典》，在库区采撷“力量的故事” | 农新瑜
05_1000040734292 | 访谈 | 从历史与经验出发 重新理解中国当代文学 | 
05_1000040734563 | 文学评论 | 新大众文艺为港澳文学发展提供了新思路 | 龚刚
05_1000040734592 | 文学评论 | 新大众文艺为港澳文学发展提供了新思路 | 龚 刚
05_1000040734598 | 文学评论 | 独创，乃文学之命脉 | 徐锦庚
05_1000040734599 | 文学评论 | 从历史与经验出发 重新理解中国当代文学 | 
05_1000040734709 | 文学评论 | 蒋风：儿童文学教育家的“大文学”观 | 韩进
05_1000040734711 | 动态 | “科幻作家进校园”活动在恩施举行 | 尹超
05_1000040734756 | 争鸣 | 诗歌与短视频：交互共生的多种可能 | 陈泽宇
05_1000040734760 | 各地文讯 | 2026文学京彩季·大家小课首期开讲——白庚胜谈“文学创作的文化动力” | 
05_1000040734804 | 视点 | 用文学探寻成长里的光亮——周霞长篇儿童文学《斯飞的天空》作品研讨会在长沙举行 | 
06_1000040735022 | 创作谈 | 每一个当下的文学行动都会让未来有迹可循 | 
06_1000040735056 | 视点 | 马中文学交流出新成果 《回响》马来文版面世 | 李宗文
06_1000040735066 | 各地文讯 | 一封邀请函，郑重开启作家与乡村的双向奔赴 | 教鹤然
07_1000040735327 | 各地文讯 | 长篇小说《棋盘山下》研讨会在京举行 | 唐山山
07_1000040735336 | 文学评论 | 从类型发展史看文学生产机制革新 | 高寒凝
07_1000040735405 | 文学评论 | 时间的考古与文脉的重建——读姜明的散文集《八千年的凝视》 | 章 夫
07_1000040735410 | 文学评论 | “把树种活了，人才能活”——评张雨晴的报告文学《大漠芳华》 | 余三定
07_1000040735411 | 文学评论 | “打开一个人的白天与黑夜”——小海、诗歌及其他 | 陈年喜
07_1000040735413 | 文学评论 | 写给当代人的精神寓言——读穆萨小说集《燃烧的夜晚》 | 蔡家园
07_1000040735414 | 文学评论 | 中国故事的另一种讲法——评吴佳骏散文集《天生斯民》 | 杨姿
